Naslov;Pisatelj;Spol;Ocena;Film;Strani;Država
The Fault in Our Stars ;John Green;M;4,4;DA;313;Indiana
Gone Girl ;Gilian Flynn;Z;3,96;DA;560;Missouri
Insurgent ;Veronica Roth;Z;4,15;DA;525;New York
Eleanor and Park;Rainbow Rowell;Z;4,17;NE;328;Nebraska
The Casual Vacancy ;J.K.Rowling;Z;3,24;DA;503;
Cinder ;Marissa Meyer;Z;4,12;NE;390;Washington
Bared to You;Sylvia Day;Z;4,21;DA;338;California
The Selection;Kiera Cass;Z;4,15;DA;336;South Carolina
City of Lost Souls;Cassandra Clare;Z;4,31;NE;525;Louisiana
Wild;Cheryl Strayed;Z;3,93;DA;315;Pennsylvania
