Naslov;Pisatelj;Spol;Ocena;Film;Strani;Država
Allegiant;Veronica Roth;Z;3,65;DA;526;New York
The Goldfinch;Donna Tartt;Z;3,87;DA;771;Mississippi
The Ocean at the End of the Lane;Neil Gaiman;M;3,99;NE;181;Missouri
Inferno;Dan Brown;M;3,71;DA;461;New Hampshire
And the Mountains Echoed;Khaled Hosseini;M;4,01;NE;404;
Fangirl;Rainbow Rowell;Z;4,2;DA;445;Nebraska
The Cuckoo's Calling;Robert Galbraith;Z;3,79;DA;455;New York
Clockwork Princess ;Cassandra Clare;Z;4,58;NE;576;Louisiana
Life After Life;Kate Atkinson;Z;3,71;DA;544;New York
The Rosie Project;Graeme Simison;M;4,01;DA;295;
