Naslov;Pisatelj;Spol;Ocena;Film;Strani;Država
Divergent ;Veronica Roth;Z;4,32;DA;487;New York
Fifty Shades of Grey ;E.L. James;Z;3,7;DA;356;
Bossypants;Tina Fey;Z;3,93;DA;287;Pennsylvania
Fifty Shades Freed;E.L. James;Z;3,93;NE;578;
Fifty Shades Darker;E.L. James;Z;3,92;NE;532;
Miss Peregrine's Home for Peculiar Children;Ransom Riggs;M;3,79;NE;352;Illinois
The Night Circus;Erin Morgenstern;Z;4;DA;387;Massachusetts
Steve Jobs;Walter Isaacson;M;4,1;DA;656;Louisiana
Delirium;Lauren Oliver;Z;4,03;DA;441;
A Dance with Dragons;George R.R. Martin;M;4,26;DA;1125;New Jersey
